Problem: irf256, setup: 138.91 ms, time: 389.92 ns, ``mflops'': 13131
Problem: irf768, setup: 484.93 ms, time: 1.38 us, ``mflops'': 13327
Problem: irf1280, setup: 647.33 ms, time: 2.27 us, ``mflops'': 14563
Problem: irf1792, setup: 422.16 ms, time: 5.27 us, ``mflops'': 9193.2
Problem: irf2304, setup: 973.93 ms, time: 6.13 us, ``mflops'': 10493
Problem: irf2816, setup: 298.57 ms, time: 7.13 us, ``mflops'': 11314
Problem: irf3328, setup: 307.50 ms, time: 8.65 us, ``mflops'': 11248
Problem: irf3840, setup: 1.67 s, time: 8.21 us, ``mflops'': 13926
Problem: irf4352, setup: 319.16 ms, time: 13.42 us, ``mflops'': 9796.9
Problem: irf4864, setup: 396.87 ms, time: 19.58 us, ``mflops'': 7605.7
Problem: irf5376, setup: 1.19 s, time: 11.47 us, ``mflops'': 14522
Problem: irf5888, setup: 362.21 ms, time: 17.91 us, ``mflops'': 10293
Problem: irf6400, setup: 1.40 s, time: 12.96 us, ``mflops'': 15614
Problem: irf6912, setup: 1.53 s, time: 14.39 us, ``mflops'': 15316
Problem: irf7424, setup: 457.62 ms, time: 24.38 us, ``mflops'': 9788.2
Problem: irf7936, setup: 460.59 ms, time: 26.91 us, ``mflops'': 9550.7
Problem: irf8448, setup: 767.71 ms, time: 16.79 us, ``mflops'': 16406
Problem: irf8960, setup: 1.56 s, time: 17.22 us, ``mflops'': 17079
Problem: irf9472, setup: 604.98 ms, time: 31.29 us, ``mflops'': 9998.3
Problem: irf9984, setup: 852.07 ms, time: 22.36 us, ``mflops'': 14833
Problem: irf10496, setup: 659.92 ms, time: 36.08 us, ``mflops'': 9714
Problem: irf11008, setup: 772.52 ms, time: 62.68 us, ``mflops'': 5895.3
Problem: irf11520, setup: 3.27 s, time: 23.33 us, ``mflops'': 16654
Problem: irf12032, setup: 717.67 ms, time: 43.98 us, ``mflops'': 9271.3
Problem: irf12544, setup: 848.46 ms, time: 22.43 us, ``mflops'': 19034
Problem: irf13056, setup: 925.79 ms, time: 31.61 us, ``mflops'': 14117
Problem: irf13568, setup: 784.68 ms, time: 51.80 us, ``mflops'': 8989.9
Problem: irf14080, setup: 1.19 s, time: 29.30 us, ``mflops'': 16556
Problem: irf14592, setup: 997.90 ms, time: 35.73 us, ``mflops'': 14122
Problem: irf15104, setup: 883.98 ms, time: 60.17 us, ``mflops'': 8711.9
Problem: irf15616, setup: 1.02 s, time: 66.78 us, ``mflops'': 8144.3
Problem: irf16128, setup: 2.51 s, time: 29.56 us, ``mflops'': 19066
Problem: orf256, setup: 72.42 ms, time: 390.05 ns, ``mflops'': 13127
Problem: orf768, setup: 301.16 ms, time: 1.91 us, ``mflops'': 9656
Problem: orf1280, setup: 422.78 ms, time: 3.01 us, ``mflops'': 10965
Problem: orf1792, setup: 262.20 ms, time: 4.00 us, ``mflops'': 12096
Problem: orf2304, setup: 595.69 ms, time: 4.41 us, ``mflops'': 14581
Problem: orf2816, setup: 188.43 ms, time: 5.74 us, ``mflops'': 14057
Problem: orf3328, setup: 183.91 ms, time: 7.50 us, ``mflops'': 12973
Problem: orf3840, setup: 1.12 s, time: 6.81 us, ``mflops'': 16779
Problem: orf4352, setup: 181.14 ms, time: 9.89 us, ``mflops'': 13299
Problem: orf4864, setup: 189.86 ms, time: 11.91 us, ``mflops'': 12502
Problem: orf5376, setup: 759.05 ms, time: 8.20 us, ``mflops'': 20321
Problem: orf5888, setup: 205.59 ms, time: 14.26 us, ``mflops'': 12923
Problem: orf6400, setup: 918.41 ms, time: 9.63 us, ``mflops'': 21000
Problem: orf6912, setup: 920.23 ms, time: 10.25 us, ``mflops'': 21505
Problem: orf7424, setup: 269.28 ms, time: 27.14 us, ``mflops'': 8792.9
Problem: orf7936, setup: 262.78 ms, time: 21.92 us, ``mflops'': 11723
Problem: orf8448, setup: 464.50 ms, time: 12.89 us, ``mflops'': 21369
Problem: orf8960, setup: 1.03 s, time: 13.18 us, ``mflops'': 22321
Problem: orf9472, setup: 360.06 ms, time: 27.54 us, ``mflops'': 11360
Problem: orf9984, setup: 483.57 ms, time: 14.80 us, ``mflops'': 22402
Problem: orf10496, setup: 459.98 ms, time: 54.58 us, ``mflops'': 6422
Problem: orf11008, setup: 354.00 ms, time: 37.68 us, ``mflops'': 9807.1
Problem: orf11520, setup: 2.04 s, time: 15.94 us, ``mflops'': 24379
Problem: orf12032, setup: 413.23 ms, time: 40.29 us, ``mflops'': 10120
Problem: orf12544, setup: 517.58 ms, time: 17.96 us, ``mflops'': 23778
Problem: orf13056, setup: 522.09 ms, time: 27.92 us, ``mflops'': 15983
