Problem: irf256, setup: 140.30 ms, time: 391.48 ns, ``mflops'': 13079
Problem: irf768, setup: 485.55 ms, time: 1.38 us, ``mflops'': 13373
Problem: irf1280, setup: 645.92 ms, time: 2.24 us, ``mflops'': 14762
Problem: irf1792, setup: 420.25 ms, time: 5.63 us, ``mflops'': 8600
Problem: irf2304, setup: 975.46 ms, time: 6.57 us, ``mflops'': 9790.9
Problem: irf2816, setup: 294.20 ms, time: 7.28 us, ``mflops'': 11086
Problem: irf3328, setup: 305.86 ms, time: 8.36 us, ``mflops'': 11641
Problem: irf3840, setup: 1.68 s, time: 8.25 us, ``mflops'': 13851
Problem: irf4352, setup: 318.78 ms, time: 12.67 us, ``mflops'': 10377
Problem: irf4864, setup: 329.94 ms, time: 14.61 us, ``mflops'': 10196
Problem: irf5376, setup: 1.21 s, time: 12.72 us, ``mflops'': 13092
Problem: irf5888, setup: 446.71 ms, time: 25.18 us, ``mflops'': 7321.8
Problem: irf6400, setup: 1.40 s, time: 13.21 us, ``mflops'': 15319
Problem: irf6912, setup: 1.54 s, time: 14.28 us, ``mflops'': 15433
Problem: irf7424, setup: 454.38 ms, time: 23.90 us, ``mflops'': 9984.9
Problem: irf7936, setup: 459.72 ms, time: 26.56 us, ``mflops'': 9676.4
Problem: irf8448, setup: 769.68 ms, time: 16.69 us, ``mflops'': 16509
Problem: irf8960, setup: 1.56 s, time: 17.08 us, ``mflops'': 17218
Problem: irf9472, setup: 611.77 ms, time: 34.14 us, ``mflops'': 9163.1
Problem: irf9984, setup: 818.01 ms, time: 19.14 us, ``mflops'': 17326
Problem: irf10496, setup: 660.73 ms, time: 37.33 us, ``mflops'': 9388.3
Problem: irf11008, setup: 630.48 ms, time: 41.59 us, ``mflops'': 8885
Problem: irf11520, setup: 3.44 s, time: 24.93 us, ``mflops'': 15585
Problem: irf12032, setup: 714.09 ms, time: 43.90 us, ``mflops'': 9287
Problem: irf12544, setup: 844.76 ms, time: 22.66 us, ``mflops'': 18840
Problem: irf13056, setup: 926.37 ms, time: 31.95 us, ``mflops'': 13967
Problem: irf13568, setup: 786.91 ms, time: 52.27 us, ``mflops'': 8908
Problem: irf14080, setup: 1.11 s, time: 25.29 us, ``mflops'': 19178
Problem: irf14592, setup: 1.01 s, time: 35.75 us, ``mflops'': 14114
Problem: irf15104, setup: 888.78 ms, time: 58.20 us, ``mflops'': 9007.7
Problem: irf15616, setup: 1.02 s, time: 67.86 us, ``mflops'': 8014.5
Problem: irf16128, setup: 2.51 s, time: 28.29 us, ``mflops'': 19924
Problem: orf256, setup: 72.82 ms, time: 389.98 ns, ``mflops'': 13129
Problem: orf768, setup: 299.87 ms, time: 1.98 us, ``mflops'': 9297.5
Problem: orf1280, setup: 425.34 ms, time: 3.13 us, ``mflops'': 10545
Problem: orf1792, setup: 261.05 ms, time: 3.65 us, ``mflops'': 13259
Problem: orf2304, setup: 596.76 ms, time: 4.37 us, ``mflops'': 14713
Problem: orf2816, setup: 177.27 ms, time: 6.83 us, ``mflops'': 11817
Problem: orf3328, setup: 180.13 ms, time: 6.19 us, ``mflops'': 15737
Problem: orf3840, setup: 1.11 s, time: 6.63 us, ``mflops'': 17246
Problem: orf4352, setup: 181.07 ms, time: 9.80 us, ``mflops'': 13414
Problem: orf4864, setup: 188.00 ms, time: 10.82 us, ``mflops'': 13761
Problem: orf5376, setup: 761.63 ms, time: 8.07 us, ``mflops'': 20641
Problem: orf5888, setup: 204.98 ms, time: 15.35 us, ``mflops'': 12007
Problem: orf6400, setup: 919.62 ms, time: 9.31 us, ``mflops'': 21733
Problem: orf6912, setup: 921.83 ms, time: 10.13 us, ``mflops'': 21747
Problem: orf7424, setup: 268.25 ms, time: 20.88 us, ``mflops'': 11432
Problem: orf7936, setup: 266.24 ms, time: 21.49 us, ``mflops'': 11961
Problem: orf8448, setup: 459.50 ms, time: 12.63 us, ``mflops'': 21806
Problem: orf8960, setup: 1.02 s, time: 12.85 us, ``mflops'': 22886
Problem: orf9472, setup: 360.28 ms, time: 27.54 us, ``mflops'': 11360
Problem: orf9984, setup: 482.82 ms, time: 15.01 us, ``mflops'': 22087
Problem: orf10496, setup: 483.52 ms, time: 56.72 us, ``mflops'': 6179.2
Problem: orf11008, setup: 414.98 ms, time: 58.81 us, ``mflops'': 6282.9
Problem: orf11520, setup: 2.04 s, time: 17.06 us, ``mflops'': 22776
Problem: orf12032, setup: 415.18 ms, time: 41.15 us, ``mflops'': 9907.6
Problem: orf12544, setup: 515.90 ms, time: 18.11 us, ``mflops'': 23572
Problem: orf13056, setup: 524.84 ms, time: 27.18 us, ``mflops'': 16417
Problem: orf13568, setup: 435.70 ms, time: 48.24 us, ``mflops'': 9652.4
Problem: orf14080, setup: 674.44 ms, time: 22.08 us, ``mflops'': 21970
Problem: orf14592, setup: 582.89 ms, time: 48.85 us, ``mflops'': 10330
Problem: orf15104, setup: 502.06 ms, time: 53.13 us, ``mflops'': 9866.7
Problem: orf15616, setup: 594.62 ms, time: 61.08 us, ``mflops'': 8903.7
Problem: orf16128, setup: 1.58 s, time: 25.63 us, ``mflops'': 21986
Problem: irb256, setup: 144.27 ms, time: 380.92 ns, ``mflops'': 13441
Problem: irb768, setup: 568.09 ms, time: 2.47 us, ``mflops'': 7465.5
Problem: irb1280, setup: 756.00 ms, time: 3.60 us, ``mflops'': 9176.7
Problem: irb1792, setup: 472.22 ms, time: 4.74 us, ``mflops'': 10210
Problem: irb2304, setup: 1.19 s, time: 5.30 us, ``mflops'': 12145
Problem: irb2816, setup: 342.15 ms, time: 6.78 us, ``mflops'': 11903
Problem: irb3328, setup: 391.27 ms, time: 8.35 us, ``mflops'': 11656
Problem: irb3840, setup: 2.14 s, time: 8.11 us, ``mflops'': 14100
Problem: irb4352, setup: 411.48 ms, time: 16.62 us, ``mflops'': 7914.7
Problem: irb4864, setup: 392.84 ms, time: 13.60 us, ``mflops'': 10949
Problem: irb5376, setup: 1.47 s, time: 10.78 us, ``mflops'': 15454
Problem: irb5888, setup: 431.31 ms, time: 17.24 us, ``mflops'': 10693
Problem: irb6400, setup: 1.73 s, time: 12.11 us, ``mflops'': 16708
Problem: irb6912, setup: 1.89 s, time: 13.79 us, ``mflops'': 15987
Problem: irb7424, setup: 546.06 ms, time: 23.83 us, ``mflops'': 10013
Problem: irb7936, setup: 557.96 ms, time: 25.76 us, ``mflops'': 9978.7
Problem: irb8448, setup: 1.00 s, time: 16.67 us, ``mflops'': 16526
Problem: irb8960, setup: 1.94 s, time: 16.90 us, ``mflops'': 17405
Problem: irb9472, setup: 783.05 ms, time: 32.63 us, ``mflops'': 9586.6
Problem: irb9984, setup: 1.07 s, time: 19.56 us, ``mflops'': 16954
Problem: irb10496, setup: 875.87 ms, time: 40.19 us, ``mflops'': 8721.7
Problem: irb11008, setup: 814.22 ms, time: 41.62 us, ``mflops'': 8877.5
Problem: irb11520, setup: 4.29 s, time: 23.57 us, ``mflops'': 16483
Problem: irb12032, setup: 971.52 ms, time: 75.44 us, ``mflops'': 5404.8
Problem: irb12544, setup: 1.03 s, time: 27.10 us, ``mflops'': 15754
Problem: irb13056, setup: 1.29 s, time: 33.88 us, ``mflops'': 13170
Problem: irb13568, setup: 1.31 s, time: 59.36 us, ``mflops'': 7844.1
Problem: irb14080, setup: 1.46 s, time: 29.60 us, ``mflops'': 16390
Problem: irb14592, setup: 1.41 s, time: 39.79 us, ``mflops'': 12684
Problem: irb15104, setup: 1.16 s, time: 60.90 us, ``mflops'': 8607.4
Problem: irb15616, setup: 1.41 s, time: 69.40 us, ``mflops'': 7836.7
Problem: irb16128, setup: 3.24 s, time: 32.68 us, ``mflops'': 17245
Problem: orb256, setup: 69.89 ms, time: 572.05 ns, ``mflops'': 8950.2
Problem: orb768, setup: 330.62 ms, time: 4.69 us, ``mflops'': 3924.4
Problem: orb1280, setup: 481.69 ms, time: 4.88 us, ``mflops'': 6773.7
