Problem,irf96x96x96, setup,7.89 s, time,997.56 us, ``mflops'',43801
Problem,irf128x128x128, setup,7.73 s, time,1.34 ms, ``mflops'',82310
Problem,irf160x160x160, setup,11.82 s, time,3.01 ms, ``mflops'',74746
Problem,irf192x192x192, setup,14.46 s, time,4.58 ms, ``mflops'',87975
Problem,irf224x224x224, setup,14.46 s, time,6.77 ms, ``mflops'',97205
Problem,irf256x256x256, setup,13.93 s, time,10.18 ms, ``mflops'',98854
Problem,irf288x288x288, setup,21.99 s, time,18.76 ms, ``mflops'',78015
Problem,irf320x320x320, setup,24.20 s, time,22.65 ms, ``mflops'',90292
Problem,irf352x352x352, setup,21.00 s, time,38.48 ms, ``mflops'',71918
Problem,irf384x384x384, setup,28.78 s, time,43.20 ms, ``mflops'',84384
Problem,irf416x416x416, setup,26.89 s, time,66.26 ms, ``mflops'',70893
Problem,irf448x448x448, setup,33.08 s, time,80.94 ms, ``mflops'',73381
Problem,irf480x480x480, setup,46.11 s, time,88.60 ms, ``mflops'',83379
Problem,irf512x512x512, setup,40.07 s, time,94.60 ms, ``mflops'',95766
Problem,irf544x544x544, setup,48.11 s, time,324.19 ms, ``mflops'',33845
Problem,irf576x576x576, setup,62.88 s, time,171.36 ms, ``mflops'',76697
Problem,irf608x608x608, setup,58.67 s, time,476.95 ms, ``mflops'',32685
Problem,irf640x640x640, setup,72.02 s, time,179.54 ms, ``mflops'',1.0208e+05
Problem,irf672x672x672, setup,83.66 s, time,258.75 ms, ``mflops'',82617
Problem,irf704x704x704, setup,85.43 s, time,306.54 ms, ``mflops'',80754
Problem,irf736x736x736, setup,96.74 s, time,795.66 ms, ``mflops'',35791
Problem,irf768x768x768, setup,104.04 s, time,293.68 ms, ``mflops'',1.1088e+05
Problem,irf800x800x800, setup,114.54 s, time,430.34 ms, ``mflops'',86055
Problem,irf832x832x832, setup,122.06 s, time,505.19 ms, ``mflops'',82941
Problem,irf864x864x864, setup,149.22 s, time,554.54 ms, ``mflops'',85093
Problem,irf896x896x896, setup,154.48 s, time,539.94 ms, ``mflops'',97993
Problem,irf928x928x928, setup,183.81 s, time,1.80 s, ``mflops'',32758
Problem,irf960x960x960, setup,219.95 s, time,719.64 ms, ``mflops'',91347
Problem,irf992x992x992, setup,205.27 s, time,2.28 s, ``mflops'',32003
Problem,irf1024x1024x1024, setup,203.66 s, time,740.72 ms, ``mflops'',1.0872e+05
Problem,irf1056x1056x1056, setup,280.01 s, time,1.06 s, ``mflops'',83613
Problem,irf1088x1088x1088, setup,379.27 s, time,2.37 s, ``mflops'',41163
