Problem,irf96x96x96, setup,7.89 s, time,997.56 us, ``mflops'',43801
Problem,irf128x128x128, setup,7.73 s, time,1.34 ms, ``mflops'',82310
Problem,irf160x160x160, setup,11.82 s, time,3.01 ms, ``mflops'',74746
Problem,irf192x192x192, setup,14.46 s, time,4.58 ms, ``mflops'',87975
Problem,irf224x224x224, setup,14.46 s, time,6.77 ms, ``mflops'',97205
Problem,irf256x256x256, setup,13.93 s, time,10.18 ms, ``mflops'',98854
Problem,irf288x288x288, setup,21.99 s, time,18.76 ms, ``mflops'',78015
Problem,irf320x320x320, setup,24.20 s, time,22.65 ms, ``mflops'',90292
Problem,irf352x352x352, setup,21.00 s, time,38.48 ms, ``mflops'',71918
Problem,irf384x384x384, setup,28.78 s, time,43.20 ms, ``mflops'',84384
Problem,irf416x416x416, setup,26.89 s, time,66.26 ms, ``mflops'',70893
Problem,irf448x448x448, setup,33.08 s, time,80.94 ms, ``mflops'',73381
Problem,irf480x480x480, setup,46.11 s, time,88.60 ms, ``mflops'',83379
Problem,irf512x512x512, setup,40.07 s, time,94.60 ms, ``mflops'',95766
Problem,irf544x544x544, setup,48.11 s, time,324.19 ms, ``mflops'',33845
Problem,irf576x576x576, setup,62.88 s, time,171.36 ms, ``mflops'',76697
Problem,irf608x608x608, setup,58.67 s, time,476.95 ms, ``mflops'',32685
Problem,irf640x640x640, setup,72.02 s, time,179.54 ms, ``mflops'',1.0208e+05
Problem,irf672x672x672, setup,83.66 s, time,258.75 ms, ``mflops'',82617
Problem,irf704x704x704, setup,85.43 s, time,306.54 ms, ``mflops'',80754
Problem,irf736x736x736, setup,96.74 s, time,795.66 ms, ``mflops'',35791
Problem,irf768x768x768, setup,104.04 s, time,293.68 ms, ``mflops'',1.1088e+05
Problem,irf800x800x800, setup,114.54 s, time,430.34 ms, ``mflops'',86055
Problem,irf832x832x832, setup,122.06 s, time,505.19 ms, ``mflops'',82941
Problem,irf864x864x864, setup,149.22 s, time,554.54 ms, ``mflops'',85093
Problem,irf896x896x896, setup,154.48 s, time,539.94 ms, ``mflops'',97993
Problem,irf928x928x928, setup,183.81 s, time,1.80 s, ``mflops'',32758
Problem,irf960x960x960, setup,219.95 s, time,719.64 ms, ``mflops'',91347
Problem,irf992x992x992, setup,205.27 s, time,2.28 s, ``mflops'',32003
Problem,irf1024x1024x1024, setup,203.66 s, time,740.72 ms, ``mflops'',1.0872e+05
Problem,irf1056x1056x1056, setup,280.01 s, time,1.06 s, ``mflops'',83613
Problem,irf1088x1088x1088, setup,379.27 s, time,2.37 s, ``mflops'',41163
Problem,orf96x96x96, setup,4.06 s, time,998.62 us, ``mflops'',43755
Problem,orf128x128x128, setup,4.75 s, time,1.43 ms, ``mflops'',76899
Problem,orf160x160x160, setup,6.23 s, time,3.00 ms, ``mflops'',75008
Problem,orf192x192x192, setup,8.15 s, time,4.47 ms, ``mflops'',90152
Problem,orf224x224x224, setup,8.15 s, time,6.98 ms, ``mflops'',94308
Problem,orf256x256x256, setup,7.34 s, time,10.94 ms, ``mflops'',92022
Problem,orf288x288x288, setup,11.04 s, time,17.69 ms, ``mflops'',82761
Problem,orf320x320x320, setup,11.39 s, time,22.04 ms, ``mflops'',92816
Problem,orf352x352x352, setup,9.84 s, time,37.73 ms, ``mflops'',73337
Problem,orf384x384x384, setup,13.65 s, time,39.98 ms, ``mflops'',91191
Problem,orf416x416x416, setup,13.78 s, time,61.58 ms, ``mflops'',76281
Problem,orf448x448x448, setup,17.20 s, time,71.07 ms, ``mflops'',83568
Problem,orf480x480x480, setup,22.49 s, time,89.56 ms, ``mflops'',82491
Problem,orf512x512x512, setup,21.59 s, time,91.71 ms, ``mflops'',98787
Problem,orf544x544x544, setup,23.13 s, time,315.64 ms, ``mflops'',34762
Problem,orf576x576x576, setup,33.20 s, time,160.22 ms, ``mflops'',82030
Problem,orf608x608x608, setup,28.45 s, time,442.94 ms, ``mflops'',35194
Problem,orf640x640x640, setup,41.03 s, time,174.51 ms, ``mflops'',1.0502e+05
Problem,orf672x672x672, setup,47.74 s, time,258.60 ms, ``mflops'',82662
Problem,orf704x704x704, setup,49.81 s, time,305.11 ms, ``mflops'',81130
Problem,orf736x736x736, setup,49.89 s, time,779.65 ms, ``mflops'',36525
Problem,orf768x768x768, setup,60.76 s, time,287.11 ms, ``mflops'',1.1342e+05
Problem,orf800x800x800, setup,65.83 s, time,429.86 ms, ``mflops'',86150
Problem,orf832x832x832, setup,78.34 s, time,491.48 ms, ``mflops'',85254
Problem,orf864x864x864, setup,85.55 s, time,514.23 ms, ``mflops'',91763
Problem,orf896x896x896, setup,90.86 s, time,523.01 ms, ``mflops'',1.0116e+05
Problem,orf928x928x928, setup,91.25 s, time,1.82 s, ``mflops'',32520
Problem,orf960x960x960, setup,111.10 s, time,671.08 ms, ``mflops'',97958
Problem,orf992x992x992, setup,107.86 s, time,2.33 s, ``mflops'',31226
Problem,orf1024x1024x1024, setup,126.71 s, time,797.56 ms, ``mflops'',1.0097e+05
Problem,orf1056x1056x1056, setup,152.43 s, time,1.15 s, ``mflops'',77260
Problem,orf1088x1088x1088, setup,204.15 s, time,2.48 s, ``mflops'',39340
