Problem,orf96x96x96, setup,4.06 s, time,998.62 us, ``mflops'',43755
Problem,orf128x128x128, setup,4.75 s, time,1.43 ms, ``mflops'',76899
Problem,orf160x160x160, setup,6.23 s, time,3.00 ms, ``mflops'',75008
Problem,orf192x192x192, setup,8.15 s, time,4.47 ms, ``mflops'',90152
Problem,orf224x224x224, setup,8.15 s, time,6.98 ms, ``mflops'',94308
Problem,orf256x256x256, setup,7.34 s, time,10.94 ms, ``mflops'',92022
Problem,orf288x288x288, setup,11.04 s, time,17.69 ms, ``mflops'',82761
Problem,orf320x320x320, setup,11.39 s, time,22.04 ms, ``mflops'',92816
Problem,orf352x352x352, setup,9.84 s, time,37.73 ms, ``mflops'',73337
Problem,orf384x384x384, setup,13.65 s, time,39.98 ms, ``mflops'',91191
Problem,orf416x416x416, setup,13.78 s, time,61.58 ms, ``mflops'',76281
Problem,orf448x448x448, setup,17.20 s, time,71.07 ms, ``mflops'',83568
Problem,orf480x480x480, setup,22.49 s, time,89.56 ms, ``mflops'',82491
Problem,orf512x512x512, setup,21.59 s, time,91.71 ms, ``mflops'',98787
Problem,orf544x544x544, setup,23.13 s, time,315.64 ms, ``mflops'',34762
Problem,orf576x576x576, setup,33.20 s, time,160.22 ms, ``mflops'',82030
Problem,orf608x608x608, setup,28.45 s, time,442.94 ms, ``mflops'',35194
Problem,orf640x640x640, setup,41.03 s, time,174.51 ms, ``mflops'',1.0502e+05
Problem,orf672x672x672, setup,47.74 s, time,258.60 ms, ``mflops'',82662
Problem,orf704x704x704, setup,49.81 s, time,305.11 ms, ``mflops'',81130
Problem,orf736x736x736, setup,49.89 s, time,779.65 ms, ``mflops'',36525
Problem,orf768x768x768, setup,60.76 s, time,287.11 ms, ``mflops'',1.1342e+05
Problem,orf800x800x800, setup,65.83 s, time,429.86 ms, ``mflops'',86150
Problem,orf832x832x832, setup,78.34 s, time,491.48 ms, ``mflops'',85254
Problem,orf864x864x864, setup,85.55 s, time,514.23 ms, ``mflops'',91763
Problem,orf896x896x896, setup,90.86 s, time,523.01 ms, ``mflops'',1.0116e+05
Problem,orf928x928x928, setup,91.25 s, time,1.82 s, ``mflops'',32520
Problem,orf960x960x960, setup,111.10 s, time,671.08 ms, ``mflops'',97958
Problem,orf992x992x992, setup,107.86 s, time,2.33 s, ``mflops'',31226
Problem,orf1024x1024x1024, setup,126.71 s, time,797.56 ms, ``mflops'',1.0097e+05
Problem,orf1056x1056x1056, setup,152.43 s, time,1.15 s, ``mflops'',77260
Problem,orf1088x1088x1088, setup,204.15 s, time,2.48 s, ``mflops'',39340
