Problem,irf96x96x96, setup,7.41 s, time,1.08 ms, ``mflops'',40279,96
Problem,irf128x128x128, setup,8.09 s, time,1.54 ms, ``mflops'',71523,128
Problem,irf160x160x160, setup,12.06 s, time,6.38 ms, ``mflops'',35236,160
Problem,irf192x192x192, setup,14.02 s, time,9.90 ms, ``mflops'',40675,192
Problem,irf224x224x224, setup,14.83 s, time,14.75 ms, ``mflops'',44604,224
Problem,irf256x256x256, setup,15.29 s, time,25.45 ms, ``mflops'',39560,256
Problem,irf288x288x288, setup,22.07 s, time,20.96 ms, ``mflops'',69817,288
Problem,irf320x320x320, setup,23.27 s, time,32.21 ms, ``mflops'',63496,320
Problem,irf352x352x352, setup,21.20 s, time,43.26 ms, ``mflops'',63965,352
Problem,irf384x384x384, setup,28.71 s, time,117.16 ms, ``mflops'',31119,384
Problem,irf416x416x416, setup,26.58 s, time,123.49 ms, ``mflops'',38042,416
Problem,irf448x448x448, setup,33.53 s, time,145.36 ms, ``mflops'',40859,448
Problem,irf480x480x480, setup,46.49 s, time,245.26 ms, ``mflops'',30122,480
Problem,irf512x512x512, setup,43.28 s, time,374.75 ms, ``mflops'',24175,512
Problem,irf544x544x544, setup,44.88 s, time,425.94 ms, ``mflops'',25761,544
Problem,irf576x576x576, setup,61.51 s, time,468.00 ms, ``mflops'',28084,576
Problem,irf608x608x608, setup,59.82 s, time,600.75 ms, ``mflops'',25949,608
Problem,irf640x640x640, setup,72.65 s, time,424.62 ms, ``mflops'',43163,640
Problem,irf672x672x672, setup,81.50 s, time,631.73 ms, ``mflops'',33838,672
Problem,irf704x704x704, setup,82.45 s, time,814.63 ms, ``mflops'',30387,704
Problem,irf736x736x736, setup,95.13 s, time,1.17 s, ``mflops'',24366,736
Problem,irf768x768x768, setup,105.64 s, time,905.26 ms, ``mflops'',35972,768
Problem,irf800x800x800, setup,113.02 s, time,885.96 ms, ``mflops'',41799,800
Problem,irf832x832x832, setup,123.35 s, time,1.14 s, ``mflops'',36814,832
Problem,irf864x864x864, setup,142.27 s, time,1.03 s, ``mflops'',45651,864
Problem,irf896x896x896, setup,146.33 s, time,1.15 s, ``mflops'',46091,896
Problem,irf928x928x928, setup,178.16 s, time,2.29 s, ``mflops'',25813,928
Problem,irf960x960x960, setup,191.98 s, time,2.28 s, ``mflops'',28788,960
Problem,irf992x992x992, setup,199.41 s, time,3.42 s, ``mflops'',21331,992
Problem,irf1024x1024x1024, setup,208.06 s, time,2.39 s, ``mflops'',33752,1024
Problem,irf1056x1056x1056, setup,268.73 s, time,2.43 s, ``mflops'',36494,1056
Problem,irf1088x1088x1088, setup,359.14 s, time,3.77 s, ``mflops'',25853,1088
Problem,orf96x96x96, setup,4.48 s, time,1.08 ms, ``mflops'',40561,96
Problem,orf128x128x128, setup,4.69 s, time,1.69 ms, ``mflops'',65283,128
Problem,orf160x160x160, setup,5.98 s, time,6.79 ms, ``mflops'',33110,160
Problem,orf192x192x192, setup,7.92 s, time,10.75 ms, ``mflops'',37445,192
Problem,orf224x224x224, setup,8.06 s, time,16.06 ms, ``mflops'',40977,224
Problem,orf256x256x256, setup,7.44 s, time,23.63 ms, ``mflops'',42605,256
Problem,orf288x288x288, setup,11.12 s, time,23.20 ms, ``mflops'',63097,288
Problem,orf320x320x320, setup,11.34 s, time,34.59 ms, ``mflops'',59120,320
Problem,orf352x352x352, setup,10.15 s, time,45.69 ms, ``mflops'',60567,352
Problem,orf384x384x384, setup,14.17 s, time,117.15 ms, ``mflops'',31122,384
Problem,orf416x416x416, setup,13.71 s, time,153.75 ms, ``mflops'',30553,416
Problem,orf448x448x448, setup,17.64 s, time,155.80 ms, ``mflops'',38123,448
Problem,orf480x480x480, setup,23.28 s, time,274.84 ms, ``mflops'',26880,480
Problem,orf512x512x512, setup,23.15 s, time,312.39 ms, ``mflops'',29001,512
Problem,orf544x544x544, setup,23.09 s, time,418.23 ms, ``mflops'',26235,544
Problem,orf576x576x576, setup,35.07 s, time,476.76 ms, ``mflops'',27567,576
Problem,orf608x608x608, setup,29.23 s, time,605.29 ms, ``mflops'',25755,608
Problem,orf640x640x640, setup,42.17 s, time,449.76 ms, ``mflops'',40750,640
Problem,orf672x672x672, setup,46.84 s, time,765.85 ms, ``mflops'',27912,672
Problem,orf704x704x704, setup,48.57 s, time,781.87 ms, ``mflops'',31660,704
Problem,orf736x736x736, setup,51.36 s, time,1.09 s, ``mflops'',26237,736
Problem,orf768x768x768, setup,61.43 s, time,954.53 ms, ``mflops'',34115,768
Problem,orf800x800x800, setup,68.96 s, time,1.05 s, ``mflops'',35171,800
Problem,orf832x832x832, setup,71.04 s, time,1.20 s, ``mflops'',35059,832
Problem,orf864x864x864, setup,86.10 s, time,1.48 s, ``mflops'',31969,864
Problem,orf896x896x896, setup,88.40 s, time,1.25 s, ``mflops'',42476,896
Problem,orf928x928x928, setup,93.04 s, time,2.31 s, ``mflops'',25597,928
Problem,orf960x960x960, setup,115.72 s, time,2.19 s, ``mflops'',30081,960
Problem,orf992x992x992, setup,105.08 s, time,3.36 s, ``mflops'',21711,992
Problem,orf1024x1024x1024, setup,126.77 s, time,2.56 s, ``mflops'',31485,1024
Problem,orf1056x1056x1056, setup,153.00 s, time,2.30 s, ``mflops'',38519,1056
Problem,orf1088x1088x1088, setup,197.36 s, time,3.59 s, ``mflops'',27114,1088
