Problem,orf96x96x96, setup,4.48 s, time,1.08 ms, ``mflops'',40561,96
Problem,orf128x128x128, setup,4.69 s, time,1.69 ms, ``mflops'',65283,128
Problem,orf160x160x160, setup,5.98 s, time,6.79 ms, ``mflops'',33110,160
Problem,orf192x192x192, setup,7.92 s, time,10.75 ms, ``mflops'',37445,192
Problem,orf224x224x224, setup,8.06 s, time,16.06 ms, ``mflops'',40977,224
Problem,orf256x256x256, setup,7.44 s, time,23.63 ms, ``mflops'',42605,256
Problem,orf288x288x288, setup,11.12 s, time,23.20 ms, ``mflops'',63097,288
Problem,orf320x320x320, setup,11.34 s, time,34.59 ms, ``mflops'',59120,320
Problem,orf352x352x352, setup,10.15 s, time,45.69 ms, ``mflops'',60567,352
Problem,orf384x384x384, setup,14.17 s, time,117.15 ms, ``mflops'',31122,384
Problem,orf416x416x416, setup,13.71 s, time,153.75 ms, ``mflops'',30553,416
Problem,orf448x448x448, setup,17.64 s, time,155.80 ms, ``mflops'',38123,448
Problem,orf480x480x480, setup,23.28 s, time,274.84 ms, ``mflops'',26880,480
Problem,orf512x512x512, setup,23.15 s, time,312.39 ms, ``mflops'',29001,512
Problem,orf544x544x544, setup,23.09 s, time,418.23 ms, ``mflops'',26235,544
Problem,orf576x576x576, setup,35.07 s, time,476.76 ms, ``mflops'',27567,576
Problem,orf608x608x608, setup,29.23 s, time,605.29 ms, ``mflops'',25755,608
Problem,orf640x640x640, setup,42.17 s, time,449.76 ms, ``mflops'',40750,640
Problem,orf672x672x672, setup,46.84 s, time,765.85 ms, ``mflops'',27912,672
Problem,orf704x704x704, setup,48.57 s, time,781.87 ms, ``mflops'',31660,704
Problem,orf736x736x736, setup,51.36 s, time,1.09 s, ``mflops'',26237,736
Problem,orf768x768x768, setup,61.43 s, time,954.53 ms, ``mflops'',34115,768
Problem,orf800x800x800, setup,68.96 s, time,1.05 s, ``mflops'',35171,800
Problem,orf832x832x832, setup,71.04 s, time,1.20 s, ``mflops'',35059,832
Problem,orf864x864x864, setup,86.10 s, time,1.48 s, ``mflops'',31969,864
Problem,orf896x896x896, setup,88.40 s, time,1.25 s, ``mflops'',42476,896
Problem,orf928x928x928, setup,93.04 s, time,2.31 s, ``mflops'',25597,928
Problem,orf960x960x960, setup,115.72 s, time,2.19 s, ``mflops'',30081,960
Problem,orf992x992x992, setup,105.08 s, time,3.36 s, ``mflops'',21711,992
Problem,orf1024x1024x1024, setup,126.77 s, time,2.56 s, ``mflops'',31485,1024
Problem,orf1056x1056x1056, setup,153.00 s, time,2.30 s, ``mflops'',38519,1056
Problem,orf1088x1088x1088, setup,197.36 s, time,3.59 s, ``mflops'',27114,1088
