Problem,irf96x96x96, setup,7.55 s, time,963.00 us, ``mflops'',45373,96
Problem,irf128x128x128, setup,8.16 s, time,1.29 ms, ``mflops'',85548,128
Problem,irf160x160x160, setup,11.94 s, time,2.96 ms, ``mflops'',76048,160
Problem,irf192x192x192, setup,14.07 s, time,4.51 ms, ``mflops'',89362,192
Problem,irf224x224x224, setup,14.49 s, time,6.08 ms, ``mflops'',1.08E+005,224
Problem,irf256x256x256, setup,13.90 s, time,10.15 ms, ``mflops'',99215,256
Problem,irf288x288x288, setup,21.54 s, time,17.70 ms, ``mflops'',82677,288
Problem,irf320x320x320, setup,23.50 s, time,21.67 ms, ``mflops'',94362,320
Problem,irf352x352x352, setup,21.43 s, time,37.51 ms, ``mflops'',73765,352
Problem,irf384x384x384, setup,27.88 s, time,42.94 ms, ``mflops'',84911,384
Problem,irf416x416x416, setup,25.35 s, time,58.25 ms, ``mflops'',80641,416
Problem,irf448x448x448, setup,33.47 s, time,71.58 ms, ``mflops'',82979,448
Problem,irf480x480x480, setup,46.56 s, time,86.64 ms, ``mflops'',85265,480
Problem,irf512x512x512, setup,40.70 s, time,98.02 ms, ``mflops'',92426,512
Problem,irf544x544x544, setup,46.65 s, time,309.25 ms, ``mflops'',35481,544
Problem,irf576x576x576, setup,62.24 s, time,182.03 ms, ``mflops'',72202,576
Problem,irf608x608x608, setup,59.87 s, time,463.84 ms, ``mflops'',33609,608
Problem,irf640x640x640, setup,72.47 s, time,188.57 ms, ``mflops'',97191,640
Problem,irf672x672x672, setup,81.70 s, time,253.14 ms, ``mflops'',84445,672
Problem,irf704x704x704, setup,83.25 s, time,300.32 ms, ``mflops'',82425,704
Problem,irf736x736x736, setup,94.90 s, time,766.88 ms, ``mflops'',37133,736
Problem,irf768x768x768, setup,100.82 s, time,288.56 ms, ``mflops'',1.13E+005,768
Problem,irf800x800x800, setup,112.10 s, time,431.59 ms, ``mflops'',85805,800
Problem,irf832x832x832, setup,123.25 s, time,495.95 ms, ``mflops'',84486,832
Problem,irf864x864x864, setup,144.81 s, time,542.84 ms, ``mflops'',86927,864
Problem,irf896x896x896, setup,150.73 s, time,505.65 ms, ``mflops'',1.05E+005,896
Problem,irf928x928x928, setup,172.84 s, time,1.81 s, ``mflops'',32678,928
Problem,irf960x960x960, setup,197.10 s, time,684.71 ms, ``mflops'',96007,960
Problem,irf992x992x992, setup,207.30 s, time,2.23 s, ``mflops'',32615,992
Problem,irf1024x1024x1024, setup,201.78 s, time,694.50 ms, ``mflops'',1.16E+005,1024
Problem,irf1056x1056x1056, setup,259.37 s, time,1.07 s, ``mflops'',83118,1056
Problem,irf1088x1088x1088, setup,355.31 s, time,2.27 s, ``mflops'',42961,1088
